timestamp,date,time,avg_speed,weather_type,weather_code,temperature,precipitation,intensity_30min,cars,trucks,busses
2024-02-01 00:00:00,2024-02-01,00:00:00,94.55,cloudy,3,-8.3,0.0,37,29,3,5
2024-02-01 00:30:00,2024-02-01,00:30:00,74.02,snow,71,-9.5,0.7,39,30,4,5
2024-02-01 01:00:00,2024-02-01,01:00:00,73.78,snow,71,-11.8,0.7,26,20,2,4
2024-02-01 01:30:00,2024-02-01,01:30:00,79.12,snow,71,-1.6,1.3,5,3,0,2
2024-02-01 02:00:00,2024-02-01,02:00:00,71.54,snow,71,-5.6,1.4,11,8,0,3
2024-02-01 02:30:00,2024-02-01,02:30:00,96.2,clear,1,-8.6,0.0,15,11,2,2
2024-02-01 03:00:00,2024-02-01,03:00:00,79.2,fog,45,-5.8,0.0,15,11,1,3
2024-02-01 03:30:00,2024-02-01,03:30:00,90.35,partly_cloudy,2,-11.4,0.0,5,4,0,1
2024-02-01 04:00:00,2024-02-01,04:00:00,89.8,cloudy,3,-5.8,0.0,20,16,2,2
2024-02-01 04:30:00,2024-02-01,04:30:00,93.37,clear,1,-9.2,0.0,14,11,1,2
2024-02-01 05:00:00,2024-02-01,05:00:00,80.4,partly_cloudy,2,-9.6,0.0,30,21,2,7
2024-02-01 05:30:00,2024-02-01,05:30:00,91.8,partly_cloudy,2,-7.8,0.0,34,25,4,5
2024-02-01 06:00:00,2024-02-01,06:00:00,88.75,clear,1,-6.3,0.0,72,58,8,6
2024-02-01 06:30:00,2024-02-01,06:30:00,72.36,snow,71,-6.8,0.9,84,67,11,6
2024-02-01 07:00:00,2024-02-01,07:00:00,68.77,cloudy,3,-5.6,0.0,196,147,21,28
2024-02-01 07:30:00,2024-02-01,07:30:00,76.18,cloudy,3,-7.4,0.0,191,147,18,26
2024-02-01 08:00:00,2024-02-01,08:00:00,25.43,heavy_rain,63,1.2,7.4,215,165,29,21
2024-02-01 08:30:00,2024-02-01,08:30:00,36.89,partly_cloudy,2,-3.1,0.0,238,186,28,24
2024-02-01 09:00:00,2024-02-01,09:00:00,66.0,cloudy,3,-4.8,0.0,198,155,16,27
2024-02-01 09:30:00,2024-02-01,09:30:00,49.36,partly_cloudy,2,-8.9,0.0,209,170,18,21
2024-02-01 10:00:00,2024-02-01,10:00:00,79.96,cloudy,3,-5.8,0.0,149,115,16,18
2024-02-01 10:30:00,2024-02-01,10:30:00,66.56,partly_cloudy,2,-5.8,0.0,180,135,22,23
2024-02-01 11:00:00,2024-02-01,11:00:00,57.53,snow,71,-2.0,0.4,155,111,13,31
2024-02-01 11:30:00,2024-02-01,11:30:00,60.68,cloudy,3,-4.6,0.0,172,136,16,20
2024-02-01 12:00:00,2024-02-01,12:00:00,64.18,clear,1,-2.1,0.0,194,144,18,32
2024-02-01 12:30:00,2024-02-01,12:30:00,74.89,clear,1,-0.2,0.0,150,116,16,18
2024-02-01 13:00:00,2024-02-01,13:00:00,51.1,fog,45,-2.1,0.0,176,143,24,9
2024-02-01 13:30:00,2024-02-01,13:30:00,57.2,snow,71,-0.6,1.9,160,122,22,16
2024-02-01 14:00:00,2024-02-01,14:00:00,79.72,cloudy,3,-3.8,0.0,135,106,15,14
2024-02-01 14:30:00,2024-02-01,14:30:00,66.09,clear,1,0.6,0.0,155,123,18,14
2024-02-01 15:00:00,2024-02-01,15:00:00,73.42,clear,1,3.5,0.0,145,111,18,16
2024-02-01 15:30:00,2024-02-01,15:30:00,73.72,cloudy,3,3.3,0.0,188,142,16,30
2024-02-01 16:00:00,2024-02-01,16:00:00,62.7,cloudy,3,0.2,0.0,196,141,25,30
2024-02-01 16:30:00,2024-02-01,16:30:00,46.69,cloudy,3,-2.2,0.0,212,165,18,29
2024-02-01 17:00:00,2024-02-01,17:00:00,27.89,clear,1,-6.6,0.0,259,207,24,28
2024-02-01 17:30:00,2024-02-01,17:30:00,21.95,snow,71,-7.0,1.9,244,196,29,19
2024-02-01 18:00:00,2024-02-01,18:00:00,62.21,snow,71,-5.8,0.6,193,151,18,24
2024-02-01 18:30:00,2024-02-01,18:30:00,43.18,cloudy,3,0.3,0.0,259,206,20,33
2024-02-01 19:00:00,2024-02-01,19:00:00,44.49,snow,71,-0.3,1.0,163,124,16,23
2024-02-01 19:30:00,2024-02-01,19:30:00,62.76,snow,71,-1.1,0.8,166,129,18,19
